Predation Risk,Foraging Success,Threshold,Discriminatory,Modifier,Purple,Blue,Orange,Red,Pop Bust,purple pop max,blue pop max,orange pop max,red pop max,Diversifying,Focusing,Equitable,Inequitable,Total
0.00017,0.87,1,33,0,0,0,0,0,FALSE,12,81,17,18,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,10,18,11,14,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,25,53,20,13,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,27,82,16,19,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,32,106,20,33,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,22,69,13,31,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,9,11,16,13,0,0,0,0,0
0.00017,0.87,1,33,0,0,27,0,0,FALSE,36,93,14,18,27,0,0,27,27
0.00017,0.87,1,33,0,0,30,0,0,TRUE,37,133,31,49,30,0,0,30,30
0.00017,0.87,1,33,0,0,0,0,0,FALSE,12,124,21,14,0,0,0,0,0
0.00017,0.87,1,33,0,0,1,0,0,TRUE,11,144,35,25,1,0,0,1,1
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,11,16,23,15,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,14,11,10,12,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,12,10,17,18,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,12,7,10,12,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,133,10,TRUE,10,13,154,65,0,143,133,10,143
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,11,10,14,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,140,0,TRUE,11,11,159,12,0,140,140,0,140
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,12,35,24,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,134,0,TRUE,14,10,158,11,0,134,134,0,134
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,10,19,18,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,10,11,15,19,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,11,9,11,13,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,13,29,35,23,0,0,0,0,0
0.00017,0.87,1000,33,-1,0,0,0,0,FALSE,8,13,11,13,0,0,0,0,0
